Hour,Total,Average,Median
00,10477,23.7573696145,10.0
01,8534,25.0263929619,7.0
02,1980,10.2590673575,3.0
03,1050,9.13043478261,3.0
04,241,3.88709677419,2.0
05,103,2.51219512195,2.0
06,132,3.0,2.0
07,427,5.27160493827,2.0
08,2971,15.554973822,3.0
09,11652,20.6230088496,11.0
10,45571,73.2652733119,49.0
11,57283,83.2601744186,50.0
12,41948,60.8824383164,34.0
13,38441,54.3719943423,29.0
14,42074,59.3427362482,34.0
15,39386,57.4139941691,30.0
16,42814,62.9617647059,32.5
17,21492,32.7123287671,18.0
18,19810,32.9617304493,18.0
19,15534,27.0156521739,14.0
20,13544,25.3158878505,12.0
21,13637,25.2070240296,13.0
22,13205,24.5903165736,12.0
23,13483,27.4044715447,13.0
